com.alibaba.druid.filter.FilterEventAdapter.preparedStatement_execute(ms) :34
com.alibaba.druid.filter.FilterChainImpl.preparedStatement_execute(ms) :34
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :34
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :34
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValuesForSimpleResultMap(ms) :5
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleRowValues(ms) :5
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSet(ms) :5
org.apache.ibatis.executor.resultset.DefaultResultSetHandler.handleResultSets(ms) :6
org.apache.ibatis.executor.statement.PreparedStatementHandler.query(ms) :40
org.apache.ibatis.executor.statement.RoutingStatementHandler.query(ms) :40
org.apache.ibatis.executor.SimpleExecutor.doQuery(ms) :42
org.apache.ibatis.executor.BaseExecutor.queryFromDatabase(ms) :42
org.apache.ibatis.executor.BaseExecutor.query(ms) :42
org.apache.ibatis.executor.CachingExecutor.query(ms) :42
org.apache.ibatis.executor.CachingExecutor.query(ms) :43
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :43
org.apache.ibatis.session.defaults.DefaultSqlSession.selectList(ms) :43
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :43
org.mybatis.spring.SqlSessionTemplate.selectList(ms) :43
org.apache.ibatis.binding.MapperMethod.executeForMany(ms) :43
org.apache.ibatis.binding.MapperMethod.execute(ms) :43
org.apache.ibatis.binding.MapperProxy.invoke(ms) :43
======================================>>>>com.zuosh.web.UserController.getAllUsers(ms) :44
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.print0(ms) :14
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :14
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :14
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlSelectQueryBlock.accept0(ms) :14
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :14
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :14
com.alibaba.druid.sql.ast.statement.SQLSelect.accept0(ms) :14
com.alibaba.druid.sql.ast.SQLObjectImpl.accept(ms) :14
com.alibaba.druid.sql.visitor.SQLASTOutputVisitor.visit(ms) :14
com.alibaba.druid.sql.ast.statement.SQLSelectStatement.accept0(ms) :14
