com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :22
com.alibaba.druid.filter.FilterAdapter.resultSet_next(ms) :22
com.alibaba.druid.filter.FilterChainImpl.resultSet_next(ms) :22
com.alibaba.druid.proxy.jdbc.ResultSetProxyImpl.next(ms) :22
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :22
org.mybatis.spring.SqlSessionTemplate$SqlSessionInterceptor.invoke(ms) :54
org.mybatis.spring.SqlSessionTemplate.selectOne(ms) :54
org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(ms) :128
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :128
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :128
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :132
org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ms) :132
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :132
org.springframework.aop.framework.JdkDynamicAopProxy.invoke(ms) :132
org.springframework.data.redis.core.RedisConnectionUtils.releaseConnection(ms) :5
org.springframework.data.redis.core.RedisTemplate.execute(ms) :10
org.springframework.data.redis.core.RedisTemplate.execute(ms) :10
org.springframework.data.redis.core.RedisTemplate.execute(ms) :10
org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(ms) :11
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :11
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :11
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :11
org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ms) :11
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :11
org.springframework.aop.framework.JdkDynamicAopProxy.invoke(ms) :11
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :2
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :2
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :2
com.alibaba.druid.sql.parser.Lexer.nextToken(ms) :2
